case_id,detective_name,rank,season,episode,crime_type,borough,case_status,arrests_made,cases_solved,hours_worked,annual_salary_usd,perpetrator_age,nine_nine_quote,date_clean
99-0055,"Norm Scully",Detective,5,S05E10,ARSON,QUEENS,DISMISSED,22,22,37.9,83059,70,,2017-05-20
99-0056,"Michael Hitchcock",Detective,1,S01E04,STALKING,"STATEN  ISLAND",DISMISSED,31,75,61.1,NULL,44,,2020-05-16
99-0057,"Gina Linetti",Administrator,5,S05E04,FRAUD,QUEENS,CLOSED,33,37,72.7,67406,32,,2020-03-23
99-0058,"Jake Peralta",Detective,7,S07E06,FRAUD,QUEENS,ONGOING,24,78,73.9,86638,22,,2016-04-21
99-0059,NULL,Detective,1,S01E14,ROBBERY,BROOKLYN,OPEN,19,84,52.3,106700,28,"Cool cool cool cool cool",NULL
99-0062,"Raymond Holt",Captain,4,S04E09,ASSAULT,MANHATTAN,"IN PROGRESS",46,1,29.3,76261,58,,2017-05-13
99-0063,"Raymond Holt",Captain,1,S01E04,ARSON,QUEENS,OPEN,47,30,56.3,NULL,48,"I want to go to there",2013-06-17
99-0064,"Jake Peralta",Detective,4,S04E02,"DRUG POSSESSION",MANHATTAN,"COLD CASE",47,12,62.6,77700,38,,2014-07-03
99-0065,"Michael Hitchcock",NULL,7,S07E08,MURDER,"STATEN  ISLAND","COLD CASE",5,25,28.7,NULL,28,,2013-12-23
99-0071,"Norm Scully",Detective,2,S02E11,"DRUG POSSESSION",BRONX,CLOSED,1,38,23,NULL,29,,2013-02-13
99-0072,NULL,NULL,4,S04E07,"GRAND LARCENY","STATEN  ISLAND",OPEN,27,95,20.2,60931,26,,2017-02-11
99-0073,"Jake Peralta",Detective,4,S04E13,MURDER,"STATEN  ISLAND","COLD CASE",30,42,70.8,83753,31,,NULL
99-0074,"Raymond Holt",Captain,8,S08E17,FRAUD,"STATEN  ISLAND",CLOSED,23,55,75.6,101684,27,,2018-03-30
99-0075,"Amy Santiago",Detective,8,S08E04,ASSAULT,"STATEN  ISLAND",ONGOING,11,75,28.7,116200,75,"I want to go to there",2017-08-15
99-0077,"Amy Santiago",Detective,7,S07E14,ASSAULT,"STATEN  ISLAND","IN PROGRESS",27,18,51.8,69364,69,,2021-06-03
99-0078,"Gina Linetti",Administrator,4,S04E15,ASSAULT,BRONX,OPEN,34,33,22.1,61038,48,,2020-02-21
99-0079,"Gina Linetti",Administrator,3,S03E09,VANDALISM,BRONX,"UNDER INVESTIGATION",48,85,52.1,64843,61,,NULL
99-0080,"Charles Boyle",Detective,8,S08E21,ROBBERY,MANHATTAN,OPEN,4,8,70.2,0,36,,2017-09-05
99-0082,"Amy Santiago",Detective,7,S07E10,STALKING,BRONX,"COLD CASE",4,18,30.9,81885,20,"Get that bread",2014-02-28
99-0083,NULL,NULL,6,S06E22,BURGLARY,MANHATTAN,CLOSED,45,38,67.4,91986,50,"Cool cool cool cool cool",2021-01-21
99-0084,"Amy Santiago",Detective,5,S05E03,MURDER,BROOKLYN,OPEN,2,23,53.5,55382,38,,2017-07-01
99-0085,"Terry Jeffords",Sergeant,2,S02E15,ROBBERY,"STATEN  ISLAND",OPEN,26,85,74.7,84705,74,,2021-06-28
99-0086,"Gina Linetti",Administrator,4,S04E10,VANDALISME,QUEENS,DISMISSED,3,88,68.9,55475,62,,2018-01-23
99-0087,"Raymond Holt",Captain,8,S08E08,STALKING,BRONX,"UNDER INVESTIGATION",37,96,71.8,0,72,,2018-06-14
99-0088,"Gina Linetti",Administrator,6,S06E18,MURDER,MANHATTAN,"UNDER INVESTIGATION",15,68,77.5,67629,22,,2017-04-04
99-0090,NULL,Detective,8,S08E14,ROBERRY,QUEENS,CLOSED,1,39,34.2,114177,24,"I am a human person",2020-04-04
99-0092,"Terry Jeffords",Sergeant,7,S07E13,MURDER,MANHATTAN,CLOSED,40,46,68.1,NULL,43,,2016-09-26
99-0093,NULL,Detective,6,S06E11,ARSON,"STATEN  ISLAND",OPEN,18,74,33.8,56238,29,,2021-07-13
99-0094,"Michael Hitchcock",Detective,1,S01E20,STALKING,MANHATTAN,"UNDER INVESTIGATION",26,76,75,109795,42,"Cool cool cool cool cool",2020-07-06
99-0095,"Charles Boyle",Detective,2,S02E22,ARSON,QUEENS,"COLD CASE",27,19,42.7,72614,36,,2020-10-14
99-0097,NULL,Detective,1,S01E11,FRAUD,BROOKLYN,CLOSED,36,93,56.9,105230,55,,2019-06-24
99-0099,"Charles Boyle",Detective,3,S03E06,ASSAULT,"STATEN  ISLAND",CLOSED,37,33,51.5,93516,39,"Halloween Heist Champion",2017-05-22
99-0103,"Terry Jeffords",Sergeant,1,S01E23,"GRAND LARCENY",BRONX,"UNDER INVESTIGATION",21,100,54.1,NULL,74,"Halloween Heist Champion",2013-08-29
99-0106,"Amy Santiago",Detective,6,S06E18,FRAUD,MANHATTAN,CLOSED,32,13,62.7,0,47,Noice,2017-08-17
99-0107,"Raymond Holt",Captain,8,S08E09,"GRAND LARCENY",QUEENS,DISMISSED,46,9,75.3,95383,70,,2021-10-14
99-0109,"Raymond Holt",Captain,6,S06E19,ASSAULT,QUEENS,OPEN,49,39,62.3,93117,29,,2020-05-10
99-0112,"Rosa Diaz",Detective,4,S04E06,VANDALISM,QUEENS,CLOSED,48,69,76.9,111558,64,,2016-04-11
99-0113,"Rosa Diaz",Detective,7,S07E23,FRAUD,"STATEN  ISLAND",OPEN,19,6,24.5,NULL,61,"The squad has arrived",2019-10-18
99-0114,"Rosa Diaz",Detective,7,S07E23,ROBBERY,QUEENS,"COLD CASE",14,31,32.5,103319,36,,2018-06-23
99-0115,"Raymond Holt",Captain,3,S03E22,ARSON,BRONX,ONGOING,48,93,39.5,58892,52,,2015-01-28
99-0116,"Terry Jeffords",Sergeant,3,S03E22,"DRUG POSSESSION",BRONX,CLOSED,37,35,60.6,95123,46,Nine-Nine!,2016-06-10
99-0117,"Terry Jeffords",Sergeant,5,S05E06,BURGLARY,MANHATTAN,OPEN,37,76,49.4,113948,46,,NULL
99-0118,"Amy Santiago",Detective,2,S02E04,MURDER,BROOKLYN,CLOSED,32,24,63.2,100153,38,,2019-05-21
99-0119,"Terry Jeffords",Sergeant,6,S06E17,MURDER,BROOKLYN,CLOSED,34,89,31.6,0,17,"Get that bread",2020-03-27
99-0121,"Rosa Diaz",Detective,1,S01E04,"GRAND LARCENY",QUEENS,OPEN,9,92,75.2,108194,49,,2014-09-27
99-0123,"Norm Scully",Detective,4,S04E08,ARSON,QUEENS,DISMISSED,11,31,37.8,NULL,36,,2018-04-04
99-0124,"Michael Hitchcock",Detective,4,S04E04,FRAUD,BRONX,"COLD CASE",18,78,56.8,NULL,22,,2018-08-25
99-0125,NULL,NULL,5,S05E17,VANDALISM,BRONX,"COLD CASE",46,44,76.5,NULL,17,,NULL
99-0127,"Gina Linetti",Administrator,5,S05E18,"GRAND LARCENY",BRONX,OPEN,31,46,76.8,102803,30,,2014-06-02
99-0129,"Amy Santiago",Detective,5,S05E16,"DRUG POSSESSION",QUEENS,CLOSED,35,63,55.3,NULL,26,,2015-08-18
99-0130,"Terry Jeffords",Sergeant,8,S08E08,ARSON,MANHATTAN,"COLD CASE",33,25,73.6,117206,37,,2013-02-15
99-0131,"Terry Jeffords",Sergeant,6,S06E10,FRAUD,"STATEN  ISLAND",CLOSED,36,25,47.4,61519,39,"I want to go to there",2020-12-19
99-0132,"Rosa Diaz",Detective,5,S05E07,ASSAULT,QUEENS,CLOSED,11,64,28.3,64460,29,,2014-06-10
99-0133,"Jake Peralta",Detective,7,S07E02,VANDALISM,BRONX,DISMISSED,29,48,61.5,NULL,27,,NULL
99-0134,"Charles Boyle",Detective,6,S06E06,FRAUD,BROOKLYN,OPEN,20,14,66.1,62220,56,,2021-10-14
99-0136,"Charles Boyle",Detective,6,S06E13,"DRUG  POSSESSION",BROOKLYN,"COLD CASE",34,7,37.1,73945,23,,2018-01-03
99-0137,"Norm Scully",Detective,8,S08E22,VANDALISM,"STATEN  ISLAND",CLOSED,29,21,76.4,94757,51,,2020-07-09
99-0138,NULL,Detective,4,S04E01,"GRAND LARCENY","STATEN  ISLAND","UNDER INVESTIGATION",28,26,52.7,NULL,19,,2014-03-16
99-0139,"Rosa Diaz",Detective,8,S08E06,ASSAULT,BROOKLYN,DISMISSED,49,77,27.7,83312,40,,2015-11-14
99-0141,"Michael Hitchcock",Detective,1,S01E09,BURGLARY,BROOKLYN,DISMISSED,39,17,29.2,80419,22,,2019-11-06
99-0143,"Michael Hitchcock",Sergeant,5,S05E13,STALKING,BROOKLYN,CLOSED,37,11,25.5,84945,26,,2019-06-08
99-0145,"Michael Hitchcock",Captain,6,S06E15,MURDER,BROOKLYN,DISMISSED,5,50,30,95380,24,,2019-12-02
99-0146,"Norm Scully",Detective,2,S02E02,ASSAULT,MANHATTAN,CLOSED,27,62,64.2,NULL,66,,2015-04-30
99-0147,"Rosa Diaz",Detective,5,S05E02,ARSON,"STATEN  ISLAND","COLD CASE",35,16,51,95787,31,,2019-11-26
99-0149,"Terry Jeffords",Sergeant,3,S03E19,STALKING,QUEENS,DISMISSED,28,24,36.4,66752,64,"I am a human person",2014-07-30
99-0150,"Michael Hitchcock",Captain,8,S08E06,MURDER,BRONX,CLOSED,6,28,45.6,75023,40,,2014-04-25
99-0151,"Terry Jeffords",Sergeant,5,S05E04,ASSAULT,BRONX,DISMISSED,22,12,56.2,0,44,"I want to go to there",NULL
99-0152,"Charles Boyle",Detective,4,S04E12,"DRUG POSSESSION","STATEN  ISLAND","COLD CASE",5,42,72.2,74033,42,,2016-11-24
99-0153,"Michael Hitchcock",Detective,1,S01E04,FRAUD,MANHATTAN,"COLD CASE",50,30,39.2,90792,48,,2016-06-16
99-0154,"Norm Scully",Detective,5,S05E06,BURGLARY,BROOKLYN,"IN PROGRESS",20,42,22.9,97362,65,,2020-11-03
99-0156,"Norm Scully",Detective,8,S08E11,ASSAULT,BRONX,CLOSED,12,60,78.9,NULL,51,,2014-01-27
99-0157,"Jake Peralta",Detective,6,S06E12,ASSAULT,BRONX,OPEN,43,84,66.9,0,39,,2021-09-02
99-0158,"Raymond Holt",Captain,6,S06E16,ARSON,BROOKLYN,"COLD CASE",48,37,41.1,88613,45,,2017-08-27
99-0161,"Gina Linetti",Administrator,4,S04E07,FRAUD,MANHATTAN,"UNDER INVESTIGATION",23,49,24.7,67771,40,,2014-08-31
99-0162,"Michael Hitchcock",Detective,1,S01E14,ROBBERY,MANHATTAN,OPEN,6,7,78.3,96581,34,,2021-01-31
99-0163,"Norm Scully",Detective,6,S06E10,VANDALISME,"STATEN  ISLAND",OPEN,20,20,26.6,63340,45,Noice,2014-10-13
99-0165,"Jake Peralta",Detective,5,S05E23,STALKING,QUEENS,"COLD CASE",41,98,79.8,63490,19,Bingpot!,2015-12-07
99-0166,"Michael Hitchcock",Sergeant,7,S07E06,"DRUG  POSSESSION",BROOKLYN,"COLD CASE",38,74,60.8,107675,48,"I am a human person",2018-09-08
99-0167,"Norm Scully",Detective,7,S07E08,FRAUD,"STATEN  ISLAND","UNDER INVESTIGATION",28,73,35.8,110586,68,,2015-04-21
99-0168,"Raymond Holt",Captain,3,S03E01,ASSAULT,MANHATTAN,"IN PROGRESS",44,13,43.6,60811,67,,2021-08-28
99-0169,"Terry Jeffords",Sergeant,3,S03E22,FRAUD,QUEENS,OPEN,3,70,63.9,107021,72,"I am a human person",2020-05-26
99-0170,"Michael Hitchcock",Detective,1,S01E11,ASSAULT,"STATEN  ISLAND","COLD CASE",5,77,74.6,71835,51,"Get that bread",2019-07-22
99-0172,"Charles Boyle",Detective,7,S07E02,"DRUG  POSSESSION",BROOKLYN,CLOSED,43,45,30.6,0,15,,2016-06-24
99-0174,"Terry Jeffords",Sergeant,7,S07E01,ARSON,QUEENS,ONGOING,23,83,61.5,NULL,70,Bingpot!,2013-04-19
99-0175,"Norm Scully",Detective,3,S03E10,MURDER,BRONX,CLOSED,38,59,71,106363,31,,2018-03-01
99-0179,"Raymond Holt",Captain,8,S08E22,"GRAND LARCENY",BRONX,"COLD CASE",46,100,45.2,NULL,31,,2018-01-21
99-0180,NULL,Detective,4,S04E22,"DRUG POSSESSION","STATEN  ISLAND",OPEN,44,66,78.9,84831,41,,2015-02-24
99-0183,"Michael Hitchcock",Detective,3,S03E06,ROBBERY,MANHATTAN,"COLD CASE",14,30,63.9,102748,54,,2014-04-08
99-0184,"Amy Santiago",Detective,4,S04E13,BURGLARY,BROOKLYN,DISMISSED,36,2,66.5,89267,33,,2014-06-08
99-0185,"Gina Linetti",Administrator,1,S01E03,STALKING,BRONX,OPEN,22,76,52.9,75689,30,"I am a human person",2013-09-19
99-0186,"Charles Boyle",Detective,5,S05E11,FRAUD,QUEENS,"COLD CASE",7,74,55.6,84017,53,,2016-12-09
99-0188,"Gina Linetti",Administrator,1,S01E15,STALKING,BROOKLYN,"COLD CASE",12,42,73.2,59700,45,,NULL
99-0189,"Terry Jeffords",Sergeant,3,S03E12,STALKING,BROOKLYN,DISMISSED,1,2,34.3,95045,19,,2018-12-11
99-0190,NULL,Detective,8,S08E14,BURGLERY,BRONX,DISMISSED,39,20,69.8,83789,33,,2014-03-26
99-0191,"Terry Jeffords",Sergeant,3,S03E11,"GRAND LARCENY","STATEN  ISLAND",ONGOING,45,6,36.5,0,70,,2014-05-04
99-0192,NULL,Detective,1,S01E18,MURDER,BRONX,"UNDER INVESTIGATION",43,41,76.3,NULL,36,,2017-10-13
99-0193,"Terry Jeffords",Sergeant,2,S02E18,MURDER,QUEENS,DISMISSED,8,60,47.2,119715,50,"Halloween Heist Champion",2014-06-20
99-0196,"Norm Scully",Detective,6,S06E22,STALKING,BRONX,OPEN,21,58,24.5,81376,52,,2013-03-18
99-0198,"Raymond Holt",Captain,6,S06E23,"GRAND LARCENY",BRONX,DISMISSED,28,96,72.4,80100,47,"I want to go to there",2019-11-13
99-0199,"Jake Peralta",Detective,3,S03E12,VANDALISME,MANHATTAN,DISMISSED,38,55,48.6,104829,42,,2018-05-07
99-0200,"Michael Hitchcock",Sergeant,1,S01E18,BURGLERY,QUEENS,OPEN,13,7,56.9,84977,47,Nine-Nine!,2015-10-29
99-0201,"Gina Linetti",Administrator,6,S06E19,STALKING,BRONX,CLOSED,9,81,45.9,NULL,49,,2016-04-25
99-0202,"Jake Peralta",Detective,5,S05E18,VANDALISME,QUEENS,OPEN,50,55,30.9,55913,15,,2014-11-22
99-0204,NULL,Detective,4,S04E14,ROBBERY,MANHATTAN,"IN PROGRESS",11,58,39.3,99196,38,,2019-04-25
99-0205,"Norm Scully",Detective,6,S06E21,MURDER,MANHATTAN,DISMISSED,48,43,63.7,NULL,22,"Title of your sex tape",2020-08-12
99-0206,"Charles Boyle",Detective,1,S01E03,BURGLERY,MANHATTAN,"UNDER INVESTIGATION",6,15,76.6,0,30,,2018-06-13
99-0208,"Gina Linetti",Administrator,3,S03E06,FRAUD,"STATEN  ISLAND",CLOSED,7,59,67.1,119668,53,"Title of your sex tape",NULL
99-0209,"Norm Scully",Detective,5,S05E07,"DRUG POSSESSION",MANHATTAN,DISMISSED,14,10,74,NULL,51,,2021-02-27
99-0211,"Raymond Holt",Captain,8,S08E08,BURGLARY,QUEENS,ONGOING,34,80,74.4,87947,65,"The squad has arrived",2014-03-11
99-0214,"Charles Boyle",Detective,3,S03E11,"GRAND LARCENY",BRONX,CLOSED,20,84,26.8,96996,46,,2021-07-02
99-0216,"Gina Linetti",Administrator,4,S04E05,ASSAULT,"STATEN  ISLAND",ONGOING,30,49,56,NULL,42,"I want to go to there",2021-08-04
99-0217,"Michael Hitchcock",Detective,7,S07E07,ARSON,BROOKLYN,OPEN,9,27,25.8,97319,23,,2017-03-06
99-0219,"Charles Boyle",Detective,1,S01E15,ROBBERY,"STATEN  ISLAND",CLOSED,16,64,24,101259,59,"Cool cool cool cool cool",2015-10-21
99-0220,"Jake Peralta",Detective,1,S01E21,ARSON,QUEENS,OPEN,14,3,33.2,NULL,74,,2020-08-16
99-0223,"Amy Santiago",Detective,3,S03E17,MURDER,"STATEN  ISLAND",CLOSED,37,86,35.7,89162,73,,2016-08-02
99-0225,"Gina Linetti",Administrator,1,S01E10,MURDER,BRONX,CLOSED,8,7,36.6,NULL,23,Nine-Nine!,2016-07-12
99-0226,"Rosa Diaz",Detective,1,S01E01,ASSAULT,BRONX,CLOSED,39,33,74.7,60167,64,,2019-02-23
99-0227,"Charles Boyle",Detective,7,S07E02,MURDER,MANHATTAN,CLOSED,29,43,23.7,79207,20,,2016-09-23
99-0228,"Norm Scully",Detective,2,S02E10,STALKING,QUEENS,OPEN,13,73,63.9,NULL,42,,2020-11-27
99-0229,"Terry Jeffords",Sergeant,4,S04E12,ROBERRY,QUEENS,ONGOING,21,20,33.3,93974,39,,2019-01-05
99-0231,"Norm Scully",Detective,5,S05E20,ARSON,QUEENS,OPEN,12,1,55.8,NULL,51,,2017-05-21
99-0232,NULL,Detective,5,S05E17,VANDALISME,QUEENS,"COLD CASE",41,22,20.8,107577,17,,2021-07-16
99-0233,"Terry Jeffords",Sergeant,4,S04E21,MURDER,BROOKLYN,CLOSED,4,33,47.4,0,46,,2014-10-18
99-0234,"Raymond Holt",Captain,7,S07E23,BURGLERY,BRONX,"COLD CASE",0,69,69.8,61949,41,Noice,2016-06-25
99-0235,"Amy Santiago",Detective,2,S02E19,STALKING,QUEENS,CLOSED,8,70,47,81237,34,,2016-09-18
99-0236,"Rosa Diaz",Detective,2,S02E16,MURDER,"STATEN  ISLAND","UNDER INVESTIGATION",37,49,37.2,91498,69,,2020-01-25
99-0237,"Amy Santiago",Detective,1,S01E15,ARSON,BRONX,OPEN,11,89,64.7,NULL,32,,2019-07-27
99-0238,"Charles Boyle",Detective,8,S08E16,ARSON,BROOKLYN,"UNDER INVESTIGATION",26,4,73.9,0,28,,2015-10-02
99-0239,NULL,Detective,6,S06E23,FRAUD,BRONX,DISMISSED,2,53,37.8,74812,30,,2015-05-08
99-0240,"Charles Boyle",Detective,3,S03E01,BURGLARY,"STATEN  ISLAND",DISMISSED,25,2,39.2,110335,30,,NULL
99-0241,"Raymond Holt",Captain,4,S04E07,VANDALISME,BROOKLYN,OPEN,9,97,79.5,108237,58,,2016-02-11
99-0242,"Charles Boyle",Detective,7,S07E22,"DRUG  POSSESSION",QUEENS,DISMISSED,27,37,57.8,110863,71,,2020-03-30
99-0243,NULL,Detective,1,S01E08,ARSON,QUEENS,"IN PROGRESS",41,50,37.8,NULL,40,,2021-08-24
99-0244,"Norm Scully",Detective,8,S08E13,BURGLARY,QUEENS,"IN PROGRESS",19,95,25.2,56820,19,,2020-08-07
99-0245,"Raymond Holt",Captain,2,S02E19,BURGLARY,"STATEN  ISLAND","COLD CASE",27,12,45.3,69331,16,"I am a human person",2019-10-14
99-0248,NULL,Detective,5,S05E08,FRAUD,BRONX,OPEN,7,62,66,114112,37,Nine-Nine!,2013-04-29
99-0250,"Amy Santiago",Detective,4,S04E11,STALKING,MANHATTAN,"COLD CASE",22,12,62.4,92018,34,,2021-04-18
99-0252,NULL,Detective,6,S06E12,BURGLARY,QUEENS,OPEN,20,21,50.5,NULL,49,,NULL
99-0253,"Norm Scully",Detective,6,S06E15,BURGLERY,"STATEN  ISLAND",CLOSED,8,13,30.9,98298,16,"I want to go to there",2018-07-14
99-0254,"Charles Boyle",Detective,3,S03E22,ROBBERY,BRONX,CLOSED,17,12,25.1,75660,52,,2020-09-06
99-0255,"Norm Scully",Detective,7,S07E05,MURDER,MANHATTAN,"COLD CASE",3,42,43.3,92233,62,,2020-06-30
99-0256,"Rosa Diaz",Detective,6,S06E02,ASSAULT,QUEENS,"UNDER INVESTIGATION",22,23,26.6,NULL,27,,2016-11-12
99-0257,"Gina Linetti",Administrator,3,S03E11,BURGLERY,MANHATTAN,"IN PROGRESS",31,45,22.6,NULL,15,,2015-08-09
99-0259,"Rosa Diaz",Detective,5,S05E16,ASSAULT,BROOKLYN,DISMISSED,41,17,67.4,99250,21,"The squad has arrived",2019-04-19
99-0261,NULL,NULL,5,S05E20,STALKING,BROOKLYN,OPEN,48,38,76.2,95613,66,,NULL
99-0262,"Jake Peralta",Detective,2,S02E09,ARSON,BROOKLYN,DISMISSED,26,12,32,NULL,57,"Cool cool cool cool cool",2015-04-05
99-0263,"Jake Peralta",Detective,2,S02E01,BURGLARY,QUEENS,"COLD CASE",9,9,49.7,NULL,66,,2016-12-20
99-0264,"Raymond Holt",Captain,5,S05E14,ASSAULT,QUEENS,OPEN,49,96,32.1,109129,41,,2016-01-22
99-0265,NULL,Detective,2,S02E09,ARSON,MANHATTAN,DISMISSED,31,25,62.2,98630,28,,2017-08-12
99-0267,NULL,Detective,7,S07E09,"DRUG  POSSESSION",MANHATTAN,DISMISSED,34,76,75,96964,63,,2020-01-28
99-0268,"Charles Boyle",Detective,4,S04E01,ARSON,"STATEN  ISLAND",CLOSED,4,24,34.3,NULL,63,"Halloween Heist Champion",2018-06-09
99-0269,"Raymond Holt",Captain,6,S06E01,"GRAND LARCENY","STATEN  ISLAND",OPEN,10,48,65.1,116968,21,,2019-08-03
99-0270,"Gina Linetti",Administrator,6,S06E23,MURDER,"STATEN  ISLAND",OPEN,36,10,78.6,NULL,63,,2018-03-18
99-0271,"Charles Boyle",Detective,2,S02E04,MURDER,QUEENS,DISMISSED,20,3,57.8,74299,65,Nine-Nine!,2020-05-19
99-0272,"Gina Linetti",Administrator,3,S03E06,MURDER,QUEENS,CLOSED,35,37,46.1,NULL,36,,2017-11-02
99-0275,"Charles Boyle",Detective,2,S02E01,ASSAULT,MANHATTAN,"UNDER INVESTIGATION",41,99,36.3,99762,36,,2015-04-19
99-0276,"Charles Boyle",Detective,3,S03E04,"DRUG POSESSION",MANHATTAN,CLOSED,15,67,20.2,115562,45,,2018-12-03
